itrial,n,dgp,method,rmse,coverage,width,coverage_type,time,num_outliers
0,50,linear,XBART,4.413654982029737,0.58,7.34852351037125,Overall,0.12486386299133301,35
0,50,linear,XBART,3.6718037047106513,0.7333333333333333,7.163830688492747,Interior,0.12486386299133301,35
0,50,linear,XBART,4.695850381928079,0.5142857142857142,7.427677576890609,Exterior,0.12486386299133301,35
0,50,linear,XBART-GP,3.972212950119619,0.62,7.8989764810003384,Overall,0.31189775466918945,35
0,50,linear,XBART-GP,3.636788105484359,0.7333333333333333,7.654279663095813,Interior,0.31189775466918945,35
0,50,linear,XBART-GP,4.10759008315099,0.5714285714285714,8.003846545816566,Exterior,0.31189775466918945,35
0,50,linear,jackknife+ XBART,2.963544653602761,0.94,10.069725448044206,Overall,6.6780924797058105,35
0,50,linear,jackknife+ XBART,1.9298429818829417,1.0,9.831407933250066,Interior,6.6780924797058105,35
0,50,linear,jackknife+ XBART,3.309145062977673,0.9142857142857143,10.171861525813123,Exterior,6.6780924797058105,35
0,50,linear,jackknife+ RF,4.335028047823695,0.72,10.888958177447924,Overall,0.9764895439147949,35
0,50,linear,jackknife+ RF,3.6138682085297362,0.8,10.91278421261867,Interior,0.9764895439147949,35
0,50,linear,jackknife+ RF,4.609687802696704,0.6857142857142857,10.878747019517602,Exterior,0.9764895439147949,35
0,50,linear,CV+ XBART,2.97883426227377,0.86,8.986108670511365,Overall,1.2259957790374756,35
0,50,linear,CV+ XBART,2.1242396228541343,1.0,9.153822254329326,Interior,1.2259957790374756,35
0,50,linear,CV+ XBART,3.2775721348725426,0.8,8.91423142030367,Exterior,1.2259957790374756,35
0,50,linear,CV+ RF,4.429409093417377,0.74,10.993996415882398,Overall,0.1875622272491455,35
0,50,linear,CV+ RF,3.8124150653754505,0.8666666666666667,11.14403267495925,Interior,0.1875622272491455,35
0,50,linear,CV+ RF,4.668941808473466,0.6857142857142857,10.929695161992319,Exterior,0.1875622272491455,35
0,100,linear,XBART,3.4984631858104294,0.65,7.0047337448279094,Overall,0.28714537620544434,68
0,100,linear,XBART,2.8924107870294637,0.8125,7.005800646711932,Interior,0.28714537620544434,68
0,100,linear,XBART,3.74992388373242,0.5735294117647058,7.0042316733530745,Exterior,0.28714537620544434,68
0,100,linear,XBART-GP,2.9750630686246957,0.79,7.4749656891141045,Overall,1.2716326713562012,68
0,100,linear,XBART-GP,2.6372212552985093,0.8125,6.727335300655907,Interior,1.2716326713562012,68
0,100,linear,XBART-GP,3.1214204813361226,0.7794117647058824,7.826791754270906,Exterior,1.2716326713562012,68
0,100,linear,jackknife+ XBART,2.5540038278433514,0.88,7.804182576544215,Overall,27.523348331451416,68
0,100,linear,jackknife+ XBART,1.9681174403815958,0.96875,7.803091773537708,Interior,27.523348331451416,68
0,100,linear,jackknife+ XBART,2.787424477931182,0.8382352941176471,7.8046958956061,Exterior,27.523348331451416,68
0,100,linear,jackknife+ RF,3.8618419236045813,0.73,9.364722148295888,Overall,3.042072057723999,68
0,100,linear,jackknife+ RF,3.273256810849619,0.8125,9.26963772853631,Interior,3.042072057723999,68
0,100,linear,jackknife+ RF,4.10975807842864,0.6911764705882353,9.409467757594511,Exterior,3.042072057723999,68
0,100,linear,CV+ XBART,2.5620019125246163,0.92,8.456961056222388,Overall,2.498962163925171,68
0,100,linear,CV+ XBART,2.014393078229747,0.96875,8.579871905233357,Interior,2.498962163925171,68
0,100,linear,CV+ XBART,2.782657523742953,0.8970588235294118,8.399120656687815,Exterior,2.498962163925171,68
0,100,linear,CV+ RF,3.91931103163211,0.74,9.786347104319331,Overall,0.28113436698913574,68
0,100,linear,CV+ RF,3.3128881735113516,0.78125,9.656609122462042,Interior,0.28113436698913574,68
0,100,linear,CV+ RF,4.174313255708324,0.7205882352941176,9.847400272252171,Exterior,0.28113436698913574,68
0,150,linear,XBART,3.0920845551668386,0.6666666666666666,6.036128071993598,Overall,0.4012329578399658,87
0,150,linear,XBART,2.198204169858359,0.8095238095238095,6.007260116533044,Interior,0.4012329578399658,87
0,150,linear,XBART,3.6035194089754916,0.5632183908045977,6.057032453533998,Exterior,0.4012329578399658,87
0,150,linear,XBART-GP,2.224225648431928,0.8666666666666667,6.688652223447569,Overall,2.3814914226531982,87
0,150,linear,XBART-GP,1.8977828268782098,0.8888888888888888,6.144443918823603,Interior,2.3814914226531982,87
0,150,linear,XBART-GP,2.433429635516229,0.8505747126436781,7.082734099209754,Exterior,2.3814914226531982,87
0,150,linear,jackknife+ XBART,2.711147226813025,0.6933333333333334,5.902181895235305,Overall,53.91387224197388,87
0,150,linear,jackknife+ XBART,2.06728626546931,0.8412698412698413,5.884489264938655,Interior,53.91387224197388,87
0,150,linear,jackknife+ XBART,3.0948725209189587,0.5862068965517241,5.914993799932878,Exterior,53.91387224197388,87
0,150,linear,jackknife+ RF,3.632122749422984,0.7733333333333333,8.799212468538268,Overall,6.507317543029785,87
0,150,linear,jackknife+ RF,2.7897065859303107,0.8571428571428571,8.710488119362267,Interior,6.507317543029785,87
0,150,linear,jackknife+ RF,4.136398832720261,0.7126436781609196,8.863461135182957,Exterior,6.507317543029785,87
0,150,linear,CV+ XBART,2.6251830451345914,0.7733333333333333,6.788046325185733,Overall,3.4176673889160156,87
0,150,linear,CV+ XBART,1.830339464738617,0.9523809523809523,6.777441860490291,Interior,3.4176673889160156,87
0,150,linear,CV+ XBART,3.0750739118862223,0.6436781609195402,6.795725420310017,Exterior,3.4176673889160156,87
0,150,linear,CV+ RF,3.65621778417572,0.78,8.838808651177379,Overall,0.396282434463501,87
0,150,linear,CV+ RF,2.8287129974288185,0.8571428571428571,8.73975810553793,Interior,0.396282434463501,87
0,150,linear,CV+ RF,4.153778764084674,0.7241379310344828,8.910534908364562,Exterior,0.396282434463501,87
0,200,linear,XBART,2.959158198675323,0.615,5.408600758372302,Overall,0.49413633346557617,115
0,200,linear,XBART,2.0983041387810317,0.7529411764705882,5.422182098055959,Interior,0.49413633346557617,115
0,200,linear,XBART,3.4604330301496122,0.5130434782608696,5.398562376866988,Exterior,0.49413633346557617,115
0,200,linear,XBART-GP,2.0388370165907626,0.865,6.011736279020022,Overall,3.16845703125,115
0,200,linear,XBART-GP,1.800493940049739,0.8705882352941177,5.538984138396417,Interior,3.16845703125,115
0,200,linear,XBART-GP,2.198458174446451,0.8608695652173913,6.361161774263556,Exterior,3.16845703125,115
0,200,linear,jackknife+ XBART,2.887558146296293,0.665,5.563213959392048,Overall,84.74080753326416,115
0,200,linear,jackknife+ XBART,2.007518017585946,0.8470588235294118,5.561512953241987,Interior,84.74080753326416,115
0,200,linear,jackknife+ XBART,3.3944167449545213,0.5304347826086957,5.564471224807309,Exterior,84.74080753326416,115
0,200,linear,jackknife+ RF,3.93964365160547,0.715,8.528183910574779,Overall,11.593250751495361,115
0,200,linear,jackknife+ RF,3.257136265513866,0.7647058823529411,8.50055393967411,Interior,11.593250751495361,115
0,200,linear,jackknife+ RF,4.376219139350849,0.6782608695652174,8.548606062979621,Exterior,11.593250751495361,115
0,200,linear,CV+ XBART,2.889440440247515,0.67,5.762712017933642,Overall,4.028384208679199,115
0,200,linear,CV+ XBART,2.0289301292224433,0.8,5.755227296326378,Interior,4.028384208679199,115
0,200,linear,CV+ XBART,3.3877860240677253,0.5739130434782609,5.768244203469444,Exterior,4.028384208679199,115
0,200,linear,CV+ RF,3.9784336869114236,0.7,8.349572651899559,Overall,0.5205063819885254,115
0,200,linear,CV+ RF,3.2993128839743617,0.7294117647058823,8.276777076683945,Interior,0.5205063819885254,115
0,200,linear,CV+ RF,4.4137358249090015,0.6782608695652174,8.403378077058926,Exterior,0.5205063819885254,115
0,300,linear,XBART,2.738274041455789,0.61,4.427411158925365,Overall,0.6116747856140137,148
0,300,linear,XBART,1.9376587898595017,0.756578947368421,4.462516028366694,Interior,0.6116747856140137,148
0,300,linear,XBART,3.3679291664300766,0.4594594594594595,4.391357509228865,Exterior,0.6116747856140137,148
0,300,linear,XBART-GP,2.066186351717078,0.7666666666666667,4.900756478655858,Overall,4.392040014266968,148
0,300,linear,XBART-GP,1.6887030981565714,0.8355263157894737,4.5741321925936544,Interior,4.392040014266968,148
0,300,linear,XBART-GP,2.3926642571768317,0.6959459459459459,5.236208448125149,Exterior,4.392040014266968,148
0,300,linear,jackknife+ XBART,2.6399662760712577,0.65,4.749503625825388,Overall,153.83000373840332,148
0,300,linear,jackknife+ XBART,1.8268964571438098,0.7828947368421053,4.739132060235711,Interior,153.83000373840332,148
0,300,linear,jackknife+ XBART,3.2710016654741434,0.5135135135135135,4.760155503998569,Exterior,153.83000373840332,148
0,300,linear,jackknife+ RF,3.8725606006713775,0.6833333333333333,7.544624838661797,Overall,27.678724765777588,148
0,300,linear,jackknife+ RF,3.0615100340177284,0.7631578947368421,7.502815208024141,Interior,27.678724765777588,148
0,300,linear,jackknife+ RF,4.557697261988103,0.6013513513513513,7.587564459316686,Exterior,27.678724765777588,148
0,300,linear,CV+ XBART,2.6450853698604586,0.6633333333333333,5.16700657394994,Overall,4.80335545539856,148
0,300,linear,CV+ XBART,1.845259140637344,0.7894736842105263,5.156883409704801,Interior,4.80335545539856,148
0,300,linear,CV+ XBART,3.2687978482332194,0.5337837837837838,5.177403337228731,Exterior,4.80335545539856,148
0,300,linear,CV+ RF,3.952527609051166,0.6633333333333333,7.572647499046336,Overall,0.8169779777526855,148
0,300,linear,CV+ RF,3.131905230776611,0.7302631578947368,7.5221122834568845,Interior,0.8169779777526855,148
0,300,linear,CV+ RF,4.6468531441148,0.5945945945945946,7.624548531273339,Exterior,0.8169779777526855,148
0,500,linear,XBART,2.423231022009624,0.668,4.623196285216103,Overall,0.8544490337371826,200
0,500,linear,XBART,1.7178794357212828,0.79,4.58856799481909,Interior,0.8544490337371826,200
0,500,linear,XBART,3.202101939595835,0.485,4.675138720811623,Exterior,0.8544490337371826,200
0,500,linear,XBART-GP,1.6650541443190718,0.882,5.135690115669816,Overall,7.022934675216675,200
0,500,linear,XBART-GP,1.3865705583443957,0.91,4.836120131365597,Interior,7.022934675216675,200
0,500,linear,XBART-GP,2.0117520694370015,0.84,5.585045092126144,Exterior,7.022934675216675,200
0,500,linear,jackknife+ XBART,2.4040364138439734,0.7,4.608756211247503,Overall,338.53494000434875,200
0,500,linear,jackknife+ XBART,1.722599343546497,0.82,4.597966560910634,Interior,338.53494000434875,200
0,500,linear,jackknife+ XBART,3.1618752268454946,0.52,4.624940686752807,Exterior,338.53494000434875,200
0,500,linear,jackknife+ RF,3.6416625941123932,0.718,7.590318788701554,Overall,91.52479910850525,200
